lyq: [6, 8, 1, 7, 3, 5, 9, 0, 2, 4]
lyq: [9, 7, 4, 5, 8, 3, 0, 1, 2, 6]
lyq: [7, 8, 0, 1, 3, 4, 5, 9, 2, 6]
lyq: [8, 6, 2, 0, 5, 4, 9, 1, 7, 3]
lyq: [8, 1, 2, 3, 6, 7, 9, 5, 0, 4]
lyq: [9, 3, 7, 6, 1, 5, 8, 4, 2, 0]
lyq: [5, 2, 7, 3, 0, 9, 1, 4, 8, 6]
lyq: [5, 9, 3, 6, 8, 2, 7, 1, 4, 0]
lyq: [0, 9, 1, 2, 7, 5, 8, 3, 4, 6]
lyq: [3, 9, 8, 6, 7, 1, 2, 4, 5, 0]

hbj: [6, 5, 2, 3, 1, 7, 8, 0, 4, 9]
hbj: [5, 9, 8, 2, 4, 7, 1, 3, 0, 6]
hbj: [5, 6, 1, 3, 9, 2, 4, 0, 8, 7]
hbj: [6, 5, 4, 2, 9, 8, 1, 3, 0, 7]
hbj: [5, 0, 6, 2, 8, 9, 1, 4, 3, 7]
hbj: [9, 1, 3, 6, 2, 4, 8, 5, 7, 0]
hbj: [8, 2, 3, 6, 0, 7, 1, 9, 5, 4]
hbj: [0, 9, 2, 5, 7, 3, 6, 4, 1, 8]
hbj: [0, 1, 5, 8, 4, 6, 7, 3, 2, 9]
hbj: [7, 0, 4, 9, 1, 8, 2, 6, 5, 3]

yzc: [6, 5, 8, 0, 1, 4, 9, 2, 3, 7]
yzc: [6, 3, 9, 0, 7, 5, 4, 8, 2, 1]
yzc: [7, 6, 3, 8, 4, 1, 0, 9, 2, 5]
yzc: [8, 9, 2, 4, 5, 1, 3, 6, 7, 0]
yzc: [0, 3, 9, 8, 7, 5, 1, 4, 6, 2]
yzc: [1, 3, 7, 0, 6, 4, 8, 2, 5, 9]
yzc: [9, 8, 2, 7, 5, 3, 0, 4, 6, 1]
yzc: [6, 8, 3, 7, 4, 9, 2, 5, 0, 1]
yzc: [2, 8, 1, 4, 7, 6, 3, 0, 9, 5]
yzc: [8, 7, 4, 5, 0, 9, 3, 1, 2, 6]

rj: [7, 8, 3, 2, 1, 0, 9, 6, 4, 5]
rj: [2, 6, 5, 3, 9, 7, 8, 4, 0, 1]
rj: [0, 6, 4, 7, 8, 2, 3, 5, 1, 9]
rj: [7, 3, 1, 0, 8, 4, 2, 5, 9, 6]
rj: [0, 4, 3, 5, 2, 9, 6, 8, 7, 1]
rj: [8, 1, 2, 3, 6, 9, 5, 0, 4, 7]
rj: [9, 2, 6, 8, 4, 1, 5, 3, 7, 0]
rj: [7, 2, 3, 9, 8, 4, 0, 5, 1, 6]
rj: [2, 3, 6, 1, 5, 9, 7, 0, 8, 4]
rj: [5, 0, 3, 1, 9, 7, 6, 2, 8, 4]

yyk: [9, 2, 0, 7, 3, 6, 4, 8, 5, 1]
yyk: [7, 5, 0, 3, 9, 2, 8, 1, 4, 6]
yyk: [1, 0, 9, 7, 3, 8, 4, 5, 6, 2]
yyk: [1, 2, 6, 4, 7, 5, 3, 8, 0, 9]
yyk: [3, 4, 5, 7, 6, 1, 2, 8, 9, 0]
yyk: [3, 5, 6, 9, 4, 8, 7, 0, 2, 1]
yyk: [4, 5, 0, 8, 2, 3, 9, 7, 1, 6]
yyk: [1, 8, 5, 7, 0, 2, 4, 9, 6, 3]
yyk: [5, 6, 9, 1, 4, 0, 3, 7, 2, 8]
yyk: [9, 0, 4, 3, 1, 2, 5, 6, 7, 8]

yyw: [4, 6, 2, 7, 5, 8, 0, 3, 1, 9]
yyw: [5, 4, 3, 7, 8, 9, 0, 2, 6, 1]
yyw: [7, 4, 1, 5, 9, 8, 0, 6, 2, 3]
yyw: [3, 1, 9, 8, 4, 5, 2, 0, 7, 6]
yyw: [4, 7, 6, 9, 8, 2, 1, 5, 0, 3]
yyw: [6, 4, 9, 5, 7, 2, 0, 1, 3, 8]
yyw: [4, 0, 8, 6, 3, 9, 7, 5, 1, 2]
yyw: [2, 4, 6, 3, 0, 9, 7, 1, 8, 5]
yyw: [4, 1, 3, 2, 7, 8, 0, 5, 9, 6]
yyw: [9, 6, 5, 1, 2, 8, 0, 7, 3, 4]

swn: [2, 4, 6, 3, 1, 9, 8, 7, 0, 5]
swn: [7, 0, 4, 1, 5, 8, 9, 2, 6, 3]
swn: [1, 6, 4, 0, 2, 9, 3, 8, 7, 5]
swn: [3, 4, 2, 9, 8, 6, 0, 5, 1, 7]
swn: [5, 8, 3, 0, 9, 4, 6, 1, 7, 2]
swn: [3, 2, 7, 6, 1, 8, 9, 0, 5, 4]
swn: [0, 4, 8, 5, 7, 2, 1, 9, 6, 3]
swn: [4, 8, 7, 6, 9, 2, 3, 1, 5, 0]
swn: [2, 5, 4, 9, 6, 1, 7, 3, 8, 0]
swn: [9, 1, 2, 6, 0, 5, 7, 8, 3, 4]

sy: [2, 0, 7, 6, 8, 9, 1, 5, 4, 3]
sy: [8, 2, 9, 1, 7, 3, 4, 6, 5, 0]
sy: [0, 9, 3, 6, 7, 4, 2, 8, 5, 1]
sy: [2, 0, 5, 7, 8, 6, 9, 3, 1, 4]
sy: [4, 7, 8, 9, 6, 1, 3, 0, 2, 5]
sy: [1, 8, 2, 9, 5, 7, 6, 3, 0, 4]
sy: [0, 2, 1, 7, 9, 4, 8, 6, 5, 3]
sy: [2, 5, 4, 0, 7, 1, 6, 8, 9, 3]
sy: [7, 1, 4, 8, 0, 6, 9, 5, 3, 2]
sy: [5, 0, 7, 9, 8, 1, 2, 6, 4, 3]

lgh: [3, 8, 7, 4, 1, 9, 2, 0, 6, 5]
lgh: [6, 3, 2, 9, 5, 4, 1, 7, 0, 8]
lgh: [8, 3, 2, 9, 5, 1, 0, 7, 4, 6]
lgh: [9, 4, 1, 3, 7, 2, 0, 5, 8, 6]
lgh: [8, 9, 6, 3, 1, 4, 5, 2, 7, 0]
lgh: [7, 9, 2, 8, 6, 5, 0, 1, 4, 3]
lgh: [0, 6, 2, 7, 3, 8, 1, 9, 4, 5]
lgh: [0, 7, 6, 1, 4, 9, 8, 2, 3, 5]
lgh: [3, 5, 8, 1, 0, 7, 4, 2, 6, 9]
lgh: [9, 8, 5, 2, 7, 4, 6, 3, 1, 0]

ycy: [7, 4, 9, 0, 3, 6, 5, 1, 2, 8]
ycy: [9, 5, 3, 6, 0, 7, 4, 1, 8, 2]
ycy: [9, 5, 1, 4, 2, 7, 3, 6, 8, 0]
ycy: [5, 8, 6, 3, 0, 9, 1, 2, 4, 7]
ycy: [3, 9, 8, 2, 0, 1, 7, 5, 4, 6]
ycy: [5, 4, 3, 2, 0, 7, 1, 8, 6, 9]
ycy: [9, 6, 5, 3, 1, 0, 7, 8, 4, 2]
ycy: [2, 1, 8, 4, 5, 6, 7, 9, 3, 0]
ycy: [9, 7, 0, 4, 6, 3, 1, 8, 5, 2]
ycy: [0, 8, 7, 5, 6, 3, 4, 2, 1, 9]
